overall_pick,round,round_pick,team,player,position
1,1,1,Yall E10,Jayden Daniels,QB
2,1,2,Forgibbs and Gar-rett,Josh Allen,QB
3,1,3,alex hater,Puka Nacua,WR
4,1,4,Burrow Me in Cotton,Lamar Jackson,QB
5,1,5,She Jaxon my Smith til I Njigba,Bijan Robinson,RB
6,1,6,She Alvin on my Lamb til I Goff,Jahmyr Gibbs,RB
7,1,7,oh-DUNE-nay,Ja'Marr Chase,WR
8,1,8,Calvinball,Jaxon Smith-Njigba,WR
9,2,1,Calvinball,Christian McCaffrey,RB
10,2,2,oh-DUNE-nay,Jalen Hurts,QB
11,2,3,She Alvin on my Lamb til I Goff,Amon-Ra St. Brown,WR
12,2,4,She Jaxon my Smith til I Njigba,Jonathan Taylor,RB
13,2,5,Burrow Me in Cotton,Drake Maye,QB
