overall_pick,round,round_pick,team,player,position
1,1,1,Yall E10,Josh Allen,QB
2,1,2,Forgibbs and Gar-rett,Jayden Daniels,QB
3,1,3,alex hater,Jahmyr Gibbs,RB
4,1,4,Burrow Me in Cotton,Lamar Jackson,QB
5,1,5,She Jaxon my Smith til I Njigba,Puka Nacua,WR
6,1,6,She Alvin on my Lamb til I Goff,Jaxon Smith-Njigba,WR
7,1,7,oh-DUNE-nay,Bijan Robinson,RB
8,1,8,Calvinball,Ja'Marr Chase,WR
9,2,1,Calvinball,Christian McCaffrey,RB
10,2,2,oh-DUNE-nay,Drake Maye,QB
11,2,3,She Alvin on my Lamb til I Goff,Jalen Hurts,QB
12,2,4,She Jaxon my Smith til I Njigba,Jonathan Taylor,RB
13,2,5,Burrow Me in Cotton,Joe Burrow,QB
