overall_pick,round,round_pick,team,player,position
1,1,1,Yall E10,Jayden Daniels,QB
2,1,2,Forgibbs and Gar-rett,Josh Allen,QB
3,1,3,alex hater,Bijan Robinson,RB
4,1,4,Burrow Me in Cotton,Lamar Jackson,QB
5,1,5,She Jaxon my Smith til I Njigba,Jahmyr Gibbs,RB
6,1,6,She Alvin on my Lamb til I Goff,Puka Nacua,WR
7,1,7,oh-DUNE-nay,Jaxon Smith-Njigba,WR
8,1,8,Calvinball,Christian McCaffrey,RB
9,2,1,Calvinball,Drake Maye,QB
10,2,2,oh-DUNE-nay,Ja'Marr Chase,WR
11,2,3,She Alvin on my Lamb til I Goff,Jalen Hurts,QB
12,2,4,She Jaxon my Smith til I Njigba,Amon-Ra St. Brown,WR
13,2,5,Burrow Me in Cotton,Jonathan Taylor,RB
